"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Gilmour","John","CAN",24,28,2,3,742500
"Gionta","Brian","USA",39,20,2,5,7e+05
"Giordano","Mark","CAN",34,82,13,25,6750000
"Girard","Samuel","CAN",19,73,4,19,742500
"Girardi","Dan","CAN",33,77,6,12,3250000
"Girgensons","Zemgus","LVA",24,71,7,8,1600000
"Giroux","Claude","CAN",30,82,34,68,9e+06
"Glass","Tanner","CAN",34,16,0,0,650000
"Glendening","Luke","USA",28,69,11,8,2e+06
"Goldobin","Nikolay","RUS",22,38,8,6,832500
"Goligoski","Alex","USA",32,78,12,23,6100000
"Goodrow","Barclay","CAN",24,47,7,7,650000
"Gorges","Josh","CAN",33,34,0,2,3900000
"Gostisbehere","Shayne","USA",24,78,13,52,6e+06
"Goulbourne","Tyrell","CAN",24,9,0,0,725000
"Gourde","Yanni","CAN",26,82,25,39,1e+06
"Grabner","Michael","AUT",30,80,27,9,1650000
"Granlund","Markus","FIN",24,53,8,4,950000
"Granlund","Mikael","FIN",25,77,21,46,5250000
"Grant","Derek","CAN",27,66,12,12,650000
"Graovac","Tyler","CAN",24,5,0,0,650000
"Gravel","Kevin","USA",25,16,0,3,650000
"Green","Mike","CAN",32,66,8,25,6e+06
"Greene","Andy","USA",35,81,3,10,5e+06
"Greenway","Jordan","USA",20,6,0,1,9e+05
"Greer","A.J.","CAN",21,17,0,3,750000
"Griffith","Seth","CAN",25,21,2,1,650000
"Grimaldi","Rocco","USA",24,6,1,2,750000
"Gryba","Eric","CAN",29,21,0,2,9e+05
"Grzelcyk","Matt","USA",24,61,3,12,925000
"Gudas","Radko","CZE",27,70,2,14,3500000
"Gudbranson","Erik","CAN",26,52,2,3,3500000
"Guentzel","Jake","USA",23,82,22,26,742500
"Guhle","Brendan","CAN",20,18,0,5,742500
"Gunnarsson","Carl","SWE",31,63,5,4,2900000
"Gustafsson","Erik","SWE",25,35,5,11,650000
"Haapala","Henrik","FIN",23,5,0,1,925000
"Hagelin","Carl","SWE",29,81,10,21,3667000
"Hagg","Robert","SWE",22,70,3,6,832500
"Hainsey","Ron","USA",36,80,4,19,3600000
"Haley","Micheal","CAN",31,75,3,6,8e+05
"Hall","Taylor","CAN",26,76,39,54,6e+06
"Hamhuis","Dan","CAN",35,80,3,21,3e+06
"Hamilton","Dougie","CAN",24,82,17,27,650000
"Hamilton","Freddie","CAN",26,16,0,1,5750000
